city,district,operations,lower,vendors,budget,population
lima,San Juan de Lurigancho,35,57.70000076293945,20,61.56999969482422,89.84429931640625
lima,San Juan de Miraflores,30,35.20000076293945,0.8999999761581421,75.9000015258789,36.26430130004883
lima,San Luis,6,59.900001525878906,0.20000000298023224,122.8499984741211,5.463399887084961
lima,San Martin de Porres,30,42.20000076293945,4,66.23999786376953,57.95610046386719
lima,San Miguel,15,10.300000190734863,0.3700000047683716,166.35000610351562,12.910699844360352
lima,Santa Anita,12,59.900001525878906,5.400000095367432,80.69000244140625,18.46139907836914
lima,Santiago de Surco,30,9,1.7999999523162842,238.61000061035156,28.959699630737305
lima,Surquillo,36,35.20000076293945,1.5,177.86000061035156,8.928299903869629
lima,Villa El Salvador,0,75,10,67.68000030517578,38.17900085449219
lima,Villa Maria El Triunfo,5,84,12,71.73999786376953,37.84700012207031
lima,Callao,40,37.599998474121094,0.8999999761581421,199.9199981689453,41.58879852294922
lima,Ventanilla,7,67.4000015258789,5,146.27000427246094,27.789499282836914
