city,district,operations,lower,vendors,budget,population
santiago,Cerrillos,0,52.20000076293945,0.5,337.239990234375,6.616000175476074
santiago,Cerro Navia,0,69.80000305175781,0.6000000238418579,188.8699951171875,13.39430046081543
santiago,Conchali,0,54.79999923706055,5,210.7100067138672,10.724599838256836
santiago,El Bosque,0,58.400001525878906,1.2000000476837158,153.75999450683594,16.8302001953125
santiago,Estacion Central,12,43.599998474121094,1,264.42999267578125,11.17020034790039
santiago,Huechuraba,0,58.29999923706055,0.30000001192092896,430.4200134277344,8.57610034942627
santiago,Independencia,0,41,0.05000000074505806,312.75,5.127699851989746
santiago,La Cisterna,0,38.29999923706055,1.25,255.52999877929688,7.1442999839782715
santiago,La Florida,1,36.70000076293945,2.2100000381469727,149.47999572753906,39.83549880981445
santiago,La Granja,1,60.099998474121094,0.699999988079071,164.97999572753906,12.340299606323242
santiago,La Pintana,0,73.80000305175781,1,165.55999755859375,20.256900787353516
santiago,La Reina,10,16.399999618530273,0.5,423.54998779296875,9.551600456237793
santiago,Las Condes,1,7.699999809265137,0.05000000074505806,858.3800048828125,28.811500549316406
santiago,Lo Barnechea,5,28.5,0.5,623.989990234375,10.963800430297852
santiago,Lo Espejo,0,68.5,0.5,185.1199951171875,9.90820026397705
santiago,Lo Prado,0,56.599998474121094,1,215.86000061035156,9.170299530029297
santiago,Macul,0,36.400001525878906,0.009999999776482582,251.2899932861328,9.76140022277832
santiago,Maipu,4,32.599998474121094,5,162.4600067138672,84.70040130615234
santiago,Nunoa,4,16.299999237060547,0.10000000149011612,311.4100036621094,14.51159954071045
santiago,Pedro Aguirre Cerda,0,57.099998474121094,1.7999999523162842,196.5800018310547,9.273799896240234
santiago,Penalolen,1,53.599998474121094,6,173.19000244140625,24.840499877929688
santiago,Providencia,16,7.599999904632568,0.10000000149011612,1117.469970703125,26.855100631713867
santiago,Pudahuel,1,54.29999923706055,3.5,162.6199951171875,26.855100631713867
santiago,Puente Alto,1,55.599998474121094,12,118.25,73.54149627685547
santiago,Quilicura,0,52.20000076293945,1,227.4499969482422,21.356399536132812
santiago,Quinta Normal,0,51.900001525878906,0.05000000074505806,317.44000244140625,8.695199966430664
santiago,Recoleta,15,54.70000076293945,0.4000000059604645,368.3399963378906,12.470000267028809
santiago,Renca,0,65.19999694824219,1.2000000476837158,189.57000732421875,13.075300216674805
santiago,San Bernardo,1,55.599998474121094,1.5,174.08999633789062,31.10059928894043
santiago,San Joaquin,0,51.900001525878906,2.5,278.69000244140625,7.727399826049805
santiago,San Miguel,0,31.600000381469727,0.10000000149011612,399.1499938964844,7.100500106811523
santiago,San Ramon,0,65.19999694824219,1,204.89999389648438,8.402700424194336
santiago,Santiago,16,30.399999618530273,0.30000001192092896,174.08999633789062,16.395200729370117
santiago,Vitacura,3,3.0999999046325684,0.009999999776482582,1100.9300537109375,7.9618000984191895
bogota,Suba,15,34.29999923706055,3.5999999046325684,36.34000015258789,92.306396484375
bogota,Chapinero,10,13.260000228881836,5,96.05000305175781,12.282699584960938
bogota,San Cristobal,15,84.19999694824219,7,82.80000305175781,40.75519943237305
bogota,Usaquen,20,12.739999771118164,10,47.790000915527344,42.51919937133789
bogota,Usme,8,99.0999984741211,3,108.88999938964844,29.899200439453125
bogota,Candelaria,4,66.30000305175781,1,435.2699890136719,2.2620999813079834
bogota,Los Martires,8,5.420000076293945,5,140.16000366210938,9.484199523925781
bogota,Kennedy,16,40.5,6,41.86000061035156,95.1072998046875
bogota,Barrios Unidos,4,0.05999999865889549,1,64.36000061035156,22.307300567626953
bogota,Santa Fe,28,70.0999984741211,12,157.92999267578125,10.910699844360352
bogota,Tunjuelito,2,63.599998474121094,0.8999999761581421,107.4000015258789,18.452800750732422
bogota,Engativa,8,11.199999809265137,3,43.810001373291016,80.4469985961914
bogota,Puente Aranda,4,0.2619999945163727,2.5,67.05000305175781,25.363800048828125
bogota,Antonio Narino,4,7.960000038146973,2,106.30999755859375,11.68280029296875
bogota,Teusaquillo,4,0.009999999776482582,1,713.80999755859375,13.753000259399414
bogota,Rafael Uribe Uribe,4,48.22999954223633,3,107.13999938964844,37.81639862060547
bogota,Fontibon,8,7.25,2.200000047683716,60.349998474121094,30.137500762939453
bogota,Cuidad Bolivar,3,94.5,2.4000000953674316,98.86000061035156,57.0619010925293
bogota,Bosa,4,92.80000305175781,3.5,83.910003662109375,50.8828010559082
lima,Ate,7,59.900001525878906,12,106.19999694824219,47.82780075073242
lima,Barranco,0,35.20000076293945,0.6000000238418579,273.3399963378906,3.3903000354766846
lima,Brena,20,32.099998474121094,1.75,114.58999633789062,8.190899848937988
lima,Carabayllo,1,57.400001525878906,3.5999999046325684,83.54000091552734,21.338600158691406
lima,Chacalacayo,1,62,0.8999999761581421,106.93000030517578,4.111000061035156
lima,Chorrillos,50,35.20000076293945,1.100000023841858,106.8499984741211,28.69770050048828
lima,Comas,3,57.400001525878906,10.800000190734863,62.88999938964844,48.69770050048828
lima,El Agustino,0,59.900001525878906,3.5999999046325684,75.80000305175781,18.026199340820312
lima,Independencia,36,42.20000076293945,1,82.62000274658203,20.764699935913086
lima,Jesus Maria,32,10.300000190734863,0.5,279.739990234375,6.617099761962891
lima,La Molina,22,9,0.20000000298023224,272.5199890136719,13.249799728393555
lima,La Victoria,42,36.099998474121094,5.400000095367432,147.52000427246094,19.27239990234375
lima,Lima,50,25.200000762939453,0.8999999761581421,2273.18994140625,29.94930076599121
lima,Lince,20,10.300000190734863,0.800000011920929,161.41000366210938,5.524199962615967
