country,year,average_magnitude,eneg,enep,upper_tier,en_pres,proximity
Argentina,1946,10.529999732971191,1.34210205078125,5.75,0,2.0899999141693115,1
Argentina,1951,10.529999732971191,1.34210205078125,1.9700000286102295,0,1.9600000381469727,1
Argentina,1954,4.559999942779541,1.34210205078125,1.9299999475479126,0,1.9600000381469727,0.20000000298023224
Argentina,1958,8.130000114440918,1.34210205078125,2.884999990463257,0,2.6500000953674316,1
Argentina,1960,4.170000076293945,1.34210205078125,5.485000133514404,0,2.6500000953674316,0.20000000298023224
Argentina,1963,8.350000381469727,1.34210205078125,5.980000019073486,0,3.9000000953674316,1
Argentina,1965,4.170000076293945,1.34210205078125,5.15500020980835,0,3.9000000953674316,0.33000001311302185
Argentina,1973,10.130000114440918,1.34210205078125,3.190000057220459,0,2.6600000858306885,1
Argentina,1983,10.579999923706055,1.34210205078125,2.630000114440918,0,2.299999952316284,1
Argentina,1985,5.289999961853027,1.34210205078125,4.239999771118164,0,2.299999952316284,0.33000001311302185
Argentina,1987,5.519999980926514,1.34210205078125,3.140000104904175,0,2.299999952316284,0.33000001311302185
Argentina,1989,5.289999961853027,1.34210205078125,3.3499999046325684,0,2.9100000858306885,1
Argentina,1991,5.289999961853027,1.34210205078125,3.569999933242798,0,2.9100000858306885,0.33000001311302185
Argentina,1993,5.289999961853027,1.34210205078125,3.369999885559082,0,2.9100000858306885,0.33000001311302185
Argentina,1995,5.420000076293945,1.34210205078125,3.5799999237060547,0,2.75,1
Argentina,1997,5.289999961853027,1.34210205078125,3.6500000953674316,0,2.75,0
Argentina,1999,5.420000076293945,1.34210205078125,3.2249999046325684,0,2.559999942779541,1
Australia,1946,1,1.1744040250778198,2.740000009536743,0,0,0
Australia,1949,1,1.1744040250778198,2.640000104904175,0,0,0
Australia,1951,1,1.1744040250778198,2.490000009536743,0,0,0
Australia,1954,1,1.1744040250778198,2.4600000381469727,0,0,0
Australia,1955,1,1.1744040250778198,2.734999895095825,0,0,0
Australia,1958,1,1.1744040250778198,2.9700000286102295,0,0,0
Australia,1961,1,1.1744040250778198,2.809999942779541,0,0,0
Australia,1963,1,1.1744040250778198,2.7899999618530273,0,0,0
Australia,1966,1,1.1744040250778198,2.9800000190734863,0,0,0
Australia,1969,1,1.1744040250778198,2.8299999237060547,0,0,0
Australia,1972,1,1.1744040250778198,2.7699999809265137,0,0,0
Australia,1974,1,1.1744040250778198,2.6600000858306885,0,0,0
Australia,1975,1,1.1744040250778198,2.700000047683716,0,0,0
Australia,1977,1,1.1744040250778198,3.115000009536743,0,0,0
Australia,1980,1,1.1744040250778198,2.809999942779541,0,0,0
Australia,1983,1,1.1744040250778198,2.6700000762939453,0,0,0
Australia,1984,1,1.1744040250778198,2.7899999618530273,0,0,0
Australia,1987,1,1.1744040250778198,3.0199999809265137,0,0,0
Australia,1990,1,1.1744040250778198,3.3399999141693115,0,0,0
Australia,1993,1,1.1744040250778198,2.880000114440918,0,0,0
Australia,1996,1,1.1744040250778198,3.2100000381469727,0,0,0
Australia,1998,1,1.1744040250778198,3.4600000381469727,0,0,0
Austria,1949,6.599999904632568,1.1436820030212402,2.7799999713897705,12.729999542236328,0,0
Austria,1953,6.599999904632568,1.1436820030212402,2.759999990463257,14.550000190734863,2.930000066757202,0.33000001311302185
Austria,1956,6.599999904632568,1.1436820030212402,2.4800000190734863,10.90999984741211,2.930000066757202,0.6700000166893005
Austria,1959,6.599999904632568,1.1436820030212402,2.4800000190734863,12.119999885559082,2,0.33000001311302185
Austria,1962,6.599999904632568,1.1436820030212402,2.4700000286102295,10.300000190734863,2,0.6700000166893005
Austria,1966,6.599999904632568,1.1436820030212402,2.390000104904175,8.479999542236328,2,0.6700000166893005
Austria,1970,6.599999904632568,1.1436820030212402,2.2899999618530273,8.479999542236328,2,0.6700000166893005
Austria,1971,20.329999923706055,1.1436820030212402,2.2799999713897705,8.739999771118164,1.9900000095367432,1
Austria,1975,20.329999923706055,1.1436820030212402,2.2699999809265137,6.559999942779541,2,0.6700000166893005
Austria,1979,20.329999923706055,1.1436820030212402,2.2799999713897705,7.650000095367432,2,0.6700000166893005
Austria,1983,20.329999923706055,1.1436820030212402,2.4000000953674316,10.380000114440918,1.5,0
Austria,1986,20.329999923706055,1.1436820030212402,2.7200000286102295,11.479999542236328,2.2699999809265137,1
Austria,1990,20.329999923706055,1.1436820030212402,3.1700000762939453,13.65999984741211,2.2699999809265137,0.33000001311302185
Austria,1994,4.260000228881836,1.1436820030212402,3.869999885559082,50.27000045776367,2.990000009536743,0.33000001311302185
Austria,1995,4.260000228881836,1.1436820030212402,3.5899999141693115,46.9900016784668,2.990000009536743,0
Austria,1999,4.260000228881836,1.1436820030212402,3.819999933242798,45.900001525878906,2.259999990463257,0.6600000262260437
Brazil,1947,13,2.2197558879852295,3.5899999141693115,0,2.299999952316284,0.20000000298023224
Brazil,1950,12.15999984741211,2.2197558879852295,7.110000133514404,0,2.680000066757202,1
Brazil,1954,13.039999961853027,2.2197558879852295,8.6899995803833,0,2.680000066757202,0.6000000238418579
Brazil,1958,13.039999961853027,2.2197558879852295,9.819999694824219,0,2.9700000286102295,0.20000000298023224
Brazil,1962,15.5600004196167,2.2197558879852295,11.170000076293945,0,2.6500000953674316,0.20000000298023224
Brazil,1982,19.15999984741211,2.2197558879852295,2.6500000953674316,0,0,0
Brazil,1986,18.729999542236328,2.2197558879852295,3.555000066757202,0,0,0
Brazil,1990,18.6299991607666,2.2197558879852295,9.789999961853027,0,5.690000057220459,0.6000000238418579
