district_id,contacted,district_competitiveness
District 492,Not Contacted,0.484232274315833
District 492,Not Contacted,0.484232274315833
District 492,Not Contacted,0.484232274315833
District 492,Not Contacted,0.484232274315833
District 492,Not Contacted,0.484232274315833
District 374,Not Contacted,0.510096428374072
District 350,Contacted,0.539539253284563
District 350,Not Contacted,0.539539253284563
District 350,Not Contacted,0.539539253284563
District 463,Not Contacted,0.454491201914978
District 463,Not Contacted,0.454491201914978
District 463,Contacted,0.454491201914978
District 393,Not Contacted,0.429224187767372
District 393,Not Contacted,0.429224187767372
District 366,Not Contacted,0.676012399302617
District 366,Not Contacted,0.676012399302617
District 366,Not Contacted,0.676012399302617
District 366,Not Contacted,0.676012399302617
District 366,Contacted,0.676012399302617
District 366,Not Contacted,0.676012399302617
District 366,Contacted,0.676012399302617
District 432,Not Contacted,0.60255766984724
District 432,Not Contacted,0.60255766984724
District 432,Not Contacted,0.60255766984724
District 432,Not Contacted,0.60255766984724
District 375,Contacted,0.587985487564223
District 375,Not Contacted,0.587985487564223
District 375,Not Contacted,0.587985487564223
District 375,Not Contacted,0.587985487564223
District 375,Not Contacted,0.587985487564223
District 375,Contacted,0.587985487564223
District 375,Not Contacted,0.587985487564223
District 385,Not Contacted,0.531021731285336
District 385,Not Contacted,0.531021731285336
District 385,Not Contacted,0.531021731285336
District 385,Not Contacted,0.531021731285336
District 385,Not Contacted,0.531021731285336
District 385,Not Contacted,0.531021731285336
District 385,Not Contacted,0.531021731285336
District 385,Not Contacted,0.531021731285336
District 385,Contacted,0.531021731285336
District 385,Not Contacted,0.531021731285336
District 377,Not Contacted,0.597569952752385
District 377,Not Contacted,0.597569952752385
District 377,Not Contacted,0.597569952752385
District 377,Contacted,0.597569952752385
District 378,Not Contacted,0.657143963874924
District 378,Not Contacted,0.657143963874924
District 378,Not Contacted,0.657143963874924
District 378,Not Contacted,0.657143963874924
District 461,Not Contacted,0.580443917189658
District 387,Not Contacted,0.508482832634359
District 387,Contacted,0.508482832634359
District 387,Not Contacted,0.508482832634359
District 387,Contacted,0.508482832634359
District 387,Contacted,0.508482832634359
District 387,Not Contacted,0.508482832634359
District 367,Contacted,0.714063759742005
District 367,Not Contacted,0.714063759742005
District 367,Not Contacted,0.714063759742005
District 368,Contacted,0.638083337470385
District 368,Not Contacted,0.638083337470385
District 368,Not Contacted,0.638083337470385
District 387,Not Contacted,0.508482832634359
