District,District.Competitiveness,Contacted
492,0.484232274315833,0
492,0.484232274315833,0
492,0.484232274315833,0
492,0.484232274315833,0
492,0.484232274315833,0
374,0.510096428374072,0
350,0.539539253284563,1
350,0.539539253284563,0
350,0.539539253284563,0
350,0.539539253284563,0
463,0.454491201914978,0
463,0.454491201914978,0
463,0.454491201914978,1
393,0.429224187767372,0
393,0.429224187767372,0
392,0.518119092627599,0
366,0.676012399302617,0
366,0.676012399302617,0
366,0.676012399302617,0
366,0.676012399302617,0
366,0.676012399302617,1
366,0.676012399302617,0
366,0.676012399302617,1
432,0.60255766984724,0
432,0.60255766984724,0
432,0.60255766984724,0
432,0.60255766984724,0
375,0.587985487564223,1
375,0.587985487564223,0
375,0.587985487564223,0
375,0.587985487564223,0
375,0.587985487564223,0
375,0.587985487564223,1
375,0.587985487564223,0
385,0.531021731285336,0
385,0.531021731285336,0
385,0.531021731285336,0
385,0.531021731285336,0
385,0.531021731285336,0
385,0.531021731285336,0
385,0.531021731285336,0
385,0.531021731285336,0
385,0.531021731285336,1
385,0.531021731285336,1
385,0.531021731285336,0
377,0.597569952752385,0
377,0.597569952752385,0
377,0.597569952752385,0
377,0.597569952752385,1
378,0.657143963874924,0
378,0.657143963874924,0
378,0.657143963874924,0
378,0.657143963874924,0
461,0.580443917189658,0
387,0.508482832634359,0
387,0.508482832634359,1
387,0.508482832634359,0
387,0.508482832634359,0
387,0.508482832634359,0
387,0.508482832634359,1
387,0.508482832634359,1
387,0.508482832634359,0
387,0.508482832634359,0
387,0.508482832634359,0
387,0.508482832634359,0
387,0.508482832634359,0
367,0.714063759742005,0
367,0.714063759742005,1
367,0.714063759742005,0
367,0.714063759742005,0
368,0.638083337470385,1
368,0.638083337470385,0
368,0.638083337470385,0
368,0.638083337470385,0
387,0.508482832634359,0
387,0.508482832634359,0
387,0.508482832634359,0
423,0.657726315789474,1
423,0.657726315789474,0
423,0.657726315789474,0
423,0.657726315789474,0
478,0.642848890883643,0
478,0.642848890883643,1
478,0.642848890883643,0
478,0.642848890883643,1
478,0.642848890883643,1
474,0.653665698993309,0
474,0.653665698993309,0
423,0.657726315789474,1
423,0.657726315789474,0
423,0.657726315789474,0
341,0.798981236055758,0
341,0.798981236055758,1
341,0.798981236055758,0
341,0.798981236055758,1
341,0.798981236055758,1
355,0.786638677285319,0
355,0.786638677285319,1
343,0.746892051821828,1
343,0.746892051821828,1
343,0.746892051821828,1
343,0.746892051821828,1
386,0.751343396652566,1
479,0.6449622862449,0
479,0.6449622862449,0
479,0.6449622862449,0
479,0.6449622862449,0
529,0.811665503771104,0
528,0.788615311909263,0
529,0.811665503771104,0
384,0.684645859087637,0
384,0.684645859087637,0
384,0.684645859087637,0
361,0.853748858986423,0
361,0.853748858986423,0
359,0.844515990459365,0
359,0.844515990459365,0
359,0.844515990459365,0
359,0.844515990459365,0
560,0.717409157118097,1
560,0.717409157118097,1
560,0.717409157118097,0
560,0.717409157118097,1
560,0.717409157118097,0
560,0.717409157118097,1
560,0.717409157118097,0
560,0.717409157118097,1
360,0.791368017795353,1
360,0.791368017795353,1
360,0.791368017795353,1
358,0.753811926160937,0
358,0.753811926160937,1
358,0.753811926160937,0
358,0.753811926160937,0
496,0.647211102994887,0
496,0.647211102994887,0
496,0.647211102994887,0
496,0.647211102994887,0
496,0.647211102994887,0
496,0.647211102994887,0
524,0.781237985390235,1
524,0.781237985390235,0
539,0.773019523010281,0
539,0.773019523010281,0
539,0.773019523010281,1
539,0.773019523010281,0
539,0.773019523010281,0
496,0.647211102994887,1
539,0.773019523010281,1
539,0.773019523010281,0
433,0.740011431569873,0
433,0.740011431569873,0
433,0.740011431569873,1
433,0.740011431569873,0
318,0.65893295004845,0
318,0.65893295004845,1
318,0.65893295004845,0
526,0.64166084725625006,1
526,0.64166084725625006,0
526,0.64166084725625006,0
526,0.64166084725625006,1
466,0.656142727750166,1
466,0.656142727750166,1
466,0.656142727750166,0
427,0.4004,1
427,0.4004,0
335,0.802009390898671,0
335,0.802009390898671,0
335,0.802009390898671,1
335,0.802009390898671,0
335,0.802009390898671,1
335,0.802009390898671,1
459,0.7411618807898,1
459,0.7411618807898,1
459,0.7411618807898,1
540,0.679518524643654,0
540,0.679518524643654,1
540,0.679518524643654,0
540,0.679518524643654,1
540,0.679518524643654,1
540,0.679518524643654,0
540,0.679518524643654,0
550,0.625876618587666,0
550,0.625876618587666,1
451,0.762743665156691,1
451,0.762743665156691,1
484,0.731448948438296,0
484,0.731448948438296,0
484,0.731448948438296,0
484,0.731448948438296,0
571,0.627319569055598,1
571,0.627319569055598,1
551,0.699853360106306,1
551,0.699853360106306,0
425,0.662886679154777,1
425,0.662886679154777,1
406,0.611552682912627,0
419,0.720966155960899,0
406,0.611552682912627,0
419,0.720966155960899,0
522,0.747494194385629,0
522,0.747494194385629,0
419,0.720966155960899,0
419,0.720966155960899,0
419,0.720966155960899,0
556,0.659151974614138,1
556,0.659151974614138,0
556,0.659151974614138,1
342,0.634266636487098,1
557,0.642720123537991,0
557,0.642720123537991,0
557,0.642720123537991,0
567,0.650273929295812,0
567,0.650273929295812,1
567,0.650273929295812,0
507,0.669740335367671,1
507,0.669740335367671,0
507,0.669740335367671,0
507,0.669740335367671,0
507,0.669740335367671,0
481,0.733788077680196,0
481,0.733788077680196,1
543,0.714160664819945,1
543,0.714160664819945,1
543,0.714160664819945,1
543,0.714160664819945,0
557,0.642720123537991,0
557,0.642720123537991,1
557,0.642720123537991,0
557,0.642720123537991,0
362,0.739849196709903,0
362,0.739849196709903,1
362,0.739849196709903,1
331,0.678774437547613,0
362,0.739849196709903,1
443,0.717450674883143,0
388,0.646720992398926,0
388,0.646720992398926,0
353,0.611172181074666,0
353,0.611172181074666,0
546,0.584809130263676,0
504,0.58820939618914,0
504,0.58820939618914,1
396,0.851575727959741,0
376,0.840535073051726,1
530,0.627799721577926,0
530,0.627799721577926,0
580,0.75249988739246,0
580,0.75249988739246,0
580,0.75249988739246,0
580,0.75249988739246,0
416,0.794977509025399,0
416,0.794977509025399,0
581,0.689764760757722,1
456,0.843354539350218,0
456,0.843354539350218,0
456,0.843354539350218,0
376,0.840535073051726,1
376,0.840535073051726,0
458,0.653064236111111,0
458,0.653064236111111,0
381,0.679861598177538,1
381,0.679861598177538,1
381,0.679861598177538,0
381,0.679861598177538,0
381,0.679861598177538,1
381,0.679861598177538,0
381,0.679861598177538,0
381,0.679861598177538,0
521,0.642269104049314,0
521,0.642269104049314,1
521,0.642269104049314,1
521,0.642269104049314,1
521,0.642269104049314,1
521,0.642269104049314,1
399,0.867521701142886,0
399,0.867521701142886,0
399,0.867521701142886,1
399,0.867521701142886,1
399,0.867521701142886,1
372,0.618597446990333,0
372,0.618597446990333,0
411,0.783504732204764,0
475,0.639855860113422,0
475,0.639855860113422,0
475,0.639855860113422,0
475,0.639855860113422,0
408,0.754835243739096,1
422,0.80660447255669,0
490,0.631224535989135,1
490,0.631224535989135,0
337,0.60265164667001,0
337,0.60265164667001,0
337,0.60265164667001,0
337,0.60265164667001,0
346,0.839162596954898,0
346,0.839162596954898,1
346,0.839162596954898,0
349,0.598585733845204,0
319,0.583957694133976,0
445,0.632437812838555,0
380,0.574522619505318,1
380,0.574522619505318,1
531,0.691270123808394,1
531,0.691270123808394,0
531,0.691270123808394,1
578,0.717050014863258,1
578,0.717050014863258,1
347,0.561516776143891,0
347,0.561516776143891,0
577,0.517948053225107,0
408,0.754835243739096,1
408,0.754835243739096,0
549,0.765385565991102,1
576,0.699857207062331,1
401,0.550715637606115,0
401,0.550715637606115,1
338,0.630198084743539,0
527,0.69999790985434,0
527,0.69999790985434,0
527,0.69999790985434,1
483,0.77962577962578,1
445,0.632437812838555,0
326,0.452998170623134,1
326,0.452998170623134,0
326,0.452998170623134,0
495,0.566994297634028,1
495,0.566994297634028,0
495,0.566994297634028,0
495,0.566994297634028,0
444,0.476926842292631,1
516,0.663033683858502,0
535,0.607549543881724,1
495,0.566994297634028,1
495,0.566994297634028,0
495,0.566994297634028,0
495,0.566994297634028,1
485,0.687096774193548,1
371,0.689839340618098,0
400,0.599528175850499,1
400,0.599528175850499,0
400,0.599528175850499,0
405,0.747115789473684,1
405,0.747115789473684,0
405,0.747115789473684,0
405,0.747115789473684,1
409,0.804824636295335,0
409,0.804824636295335,0
409,0.804824636295335,0
412,0.657150281951771,0
453,0.60005077558065,1
574,0.777297604599595,0
383,0.6265449729503,0
414,0.792820102919942,0
414,0.792820102919942,1
414,0.792820102919942,0
415,0.625972803751092,1
415,0.625972803751092,1
415,0.625972803751092,0
415,0.625972803751092,0
413,0.61771214083168,0
413,0.61771214083168,0
383,0.6265449729503,0
383,0.6265449729503,1
383,0.6265449729503,0
383,0.6265449729503,1
383,0.6265449729503,0
333,0.693678828430754,1
409,0.804824636295335,0
409,0.804824636295335,0
409,0.804824636295335,1
409,0.804824636295335,0
413,0.61771214083168,1
413,0.61771214083168,0
413,0.61771214083168,1
574,0.777297604599595,1
574,0.777297604599595,1
545,0.761993679977018,1
545,0.761993679977018,0
545,0.761993679977018,0
469,0.665354761988117,0
469,0.665354761988117,1
469,0.665354761988117,0
467,0.724516059981649,0
398,0.794458367245872,0
467,0.724516059981649,1
467,0.724516059981649,1
518,0.679860447825217,0
323,0.657084951556475,0
323,0.657084951556475,0
323,0.657084951556475,0
323,0.657084951556475,0
467,0.724516059981649,0
467,0.724516059981649,0
467,0.724516059981649,1
519,0.656424178804994,0
519,0.656424178804994,1
471,0.720058906255474,0
470,0.723992942359227,0
470,0.723992942359227,1
470,0.723992942359227,0
471,0.720058906255474,1
471,0.720058906255474,0
471,0.720058906255474,0
424,0.703185865561847,0
424,0.703185865561847,0
424,0.703185865561847,0
424,0.703185865561847,0
519,0.656424178804994,0
321,0.529652460410245,1
321,0.529652460410245,0
321,0.529652460410245,0
321,0.529652460410245,0
321,0.529652460410245,0
321,0.529652460410245,1
321,0.529652460410245,1
363,0.64290679507097,0
363,0.64290679507097,0
363,0.64290679507097,0
449,0.692573290675017,0
449,0.692573290675017,0
460,0.628706809286791,0
460,0.628706809286791,0
460,0.628706809286791,1
460,0.628706809286791,1
460,0.628706809286791,0
558,0.681755434335682,0
468,0.673418553239367,0
468,0.673418553239367,0
468,0.673418553239367,0
468,0.673418553239367,1
